data__id,data__name,data__description,data__sequence,data__report,data__unit
kount,Farms,Estimated number of farms.,10,Farm Business Balance Sheet,Number
atot,Farm assets,"Total assets represents the survey respondents' estimated market value on December 31 of all capital assets owned by the farm operation.  For operations where the operator dwelling is considered part of the farm and located on the farm, the value of the dwelling is included.",20,Farm Business Balance Sheet,Dollars per farm
actot,Assets: Current,"Current assets are those assets that will be realized in cash, sold or consumed in the production process within one year.",30,Farm Business Balance Sheet,Dollars per farm
acliv,Assets: Livestock inventory,"The market value of livestock and poultry on hand that are owned by the farm operation, excluding animals held for breeding purposes.  Animals that are owned for pleasure are not included.  Livestock or poultry that is owned by the operation, but being raised by another operation under a contract are included.",40,Farm Business Balance Sheet,Dollars per farm
accrop,Assets: Crop inventory,"The market value of all crops owned by the operation whether stored on or off the farm. Crops under Commodity Credit Corporation loans are not included; however, crops in storage which have been redeemed from CCC loan are included.",50,Farm Business Balance Sheet,Dollars per farm
acinpt,Assets: Purchased inputs,"The value of unused supplies of purchased inputs such as seed, feed, chemicals, fuels, and fertilizers.",60,Farm Business Balance Sheet,Dollars per farm
acgrow,Assets: Cash invested in growing crops,Represents the amount of sunk costs for cover crops or crops not yet harvested.,70,Farm Business Balance Sheet,Dollars per farm
acprpins,Assets: Prepaid insurance,Outlays for insurance coverage made in the past that are not completely used up.,80,Farm Business Balance Sheet,Dollars per farm
acothr,Assets: Other,"The value of all stock in Federal Land Banks, Production Credit Associations, Agricultural Credit Associations, and other farm cooperatives; accounts receivable (including Government payments due); hedging account balances; certificates of deposit; checking and savings balances; and any other financial assets of the farm business.",90,Farm Business Balance Sheet,Dollars per farm
antot,Assets: Non-current,Non-current assets are comprised of working assets that support the production process and farm real estate.,100,Farm Business Balance Sheet,Dollars per farm
aninvest,Assets: Investment in cooperatives,Estimated market value of all stock in the Farm Credit System and other farm cooperatives.,110,Farm Business Balance Sheet,Dollars per farm
anreale,Assets: Land and buildings,"Estimated market value of all land and buildings owned by the farm operation.  Any other dwellings, such as those provided to hired labor, are also included if owned by the operation and located on the farm.",120,Farm Business Balance Sheet,Dollars per farm
anequip,Assets: Farm equipment,"Estimated market value of the farm share of trucks, cars, tractors, machinery, tools, equipment and implements owned by the operation.",140,Farm Business Balance Sheet,Dollars per farm
anbreed,Assets: Breeding animals,Estimated market value of all livestock animals held for breeding purposes.,150,Farm Business Balance Sheet,Dollars per farm
dtot,Farm liabilities,"Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.",160,Farm Business Balance Sheet,Dollars per farm
lctot,Liabilities: Current,Current liabilities are the debts a farm business owes which must be paid within one year.,170,Farm Business Balance Sheet,Dollars per farm
dshort,Liabilities: Notes payable within one year,The amount of loans outstanding on December 31 that are due for full repayment within one year.,180,Farm Business Balance Sheet,Dollars per farm
lcterm,Liabilities: Current portion of term debt,The current portion of long-term debt is the amount of principal that will be due within one year of the date of the balance sheet.,190,Farm Business Balance Sheet,Dollars per farm
lcint,Liabilities: Accrued interest,Estimated as the amount of interest that has accumulated since the previous interest payment.,200,Farm Business Balance Sheet,Dollars per farm
lcpay,Liabilities: Accounts payable,"The obligation that the farm business owes to its creditors for buying goods or services.   It is the unpaid invoices, bills, or statements for goods or services rendered by outside contractors, vendors or suppliers.",210,Farm Business Balance Sheet,Dollars per farm
lntot,Liabilities: Noncurrent,Money owed by the farm business for a period one year or more in the future.,220,Farm Business Balance Sheet,Dollars per farm
lnnreale,Liabilities: Non-real estate,The amount of debt owed by the farm business for non-real estate loans.,230,Farm Business Balance Sheet,Dollars per farm
lnreale,Liabilities: Real estate,The amount of debt owed by the farm business for real estate loans.,240,Farm Business Balance Sheet,Dollars per farm
netw,Farm equity,Total farm business assets minus farm business liabilities on December 31.,250,Farm Business Balance Sheet,Dollars per farm
kount,Farms,Estimated number of farms,10,Farm Business Debt Repayment Capacity,Number
kdebt,Number of farms with debt,Number of farms that reported notes payable on December 31.,20,Farm Business Debt Repayment Capacity,Number
igcfi,Gross cash farm income,"Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.  Gross cash income of farm operations excludes the value of products provided to landlords under share rental arrangements and any government payments received by landlords.  Commodities produced or marketed through contractual arrangements are treated separately so as to properly account for income and expenses associated with the farm operation.",30,Farm Business Debt Repayment Capacity,Dollars per farm
drinc,Income for debt coverage,Calculated as net farm income plus interest on capital debt. Indicates the funds available for debt repayment.,40,Farm Business Debt Repayment Capacity,Dollars per farm
drintp,Principal/interest payments,Reported farm business interest payments and estimated principal payments.,50,Farm Business Debt Repayment Capacity,Dollars per farm
drdcm,Debt coverage margin,Calculated as income for debt coverage minus the amount of funds necessary for debt payment of current obligations.,60,Farm Business Debt Repayment Capacity,Dollars per farm
drmaxpay,Maximum loan payment,Calculated as income for debt coverage divided by the minimum debt coverage ratio.,70,Farm Business Debt Repayment Capacity,Dollars per farm
drmaxd75,Max feasible debt (7.5%),The maximum amount of debt that can be repaid given current income. Calculated at 7.5 percent interest rate amortized over a hypothetical repayment term of 7 years.,80,Farm Business Debt Repayment Capacity,Dollars per farm
drmaxd10,Max feasible debt (10%),The maximum amount of debt that can be repaid given current income. Calculated at 10 percent interest rate amortized over a hypothetical repayment term of 7 years.,90,Farm Business Debt Repayment Capacity,Dollars per farm
drcnum75,Repayment capacity use (7.5%),The ratio of actual debt to maximum debt repayment capacity measures the extent of use of potential credit repayment ability.  Calculated assuming 7.5 percent interest rate.,100,Farm Business Debt Repayment Capacity,Percent
drcnum10,Repayment capacity use (10%),The ratio of actual debt to maximum debt repayment capacity measures the extent of use of potential credit repayment ability.  Calculated assuming 10 percent interest rate.,110,Farm Business Debt Repayment Capacity,Percent
dtot,Total liabilities,"Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assets are used as collateral, are excluded.",120,Farm Business Debt Repayment Capacity,Dollars per farm
infi,Net farm income,"Net farm income indicates the profit or loss associated with current production. It represents the return (both monetary and nonmonetary) to farm operators for their labor, management and capital, after all production expenses have been paid (that is, gross farm income minus production expenses). It includes net income from farm production as well as net income attributed to the rental value of farm dwellings, the value of commodities consumed on the farm, depreciation, and inventory changes.",130,Farm Business Debt Repayment Capacity,Dollars per farm
kount,Farms,Estimated number of farms.,10,Farm Business Financial Ratios,Number
frcrnum,Current ratio,"The current ratio, one measure of liquidity, indicates the extent to which the liquidation of current assets would be sufficient to cover current liabilities.  The value of this ratio will vary throughout the production cycle and by type of business.  Greater liquidity is indicated by higher ratio values.",20,Farm Business Financial Ratios,Ratio
frwcnum,Working capital-to-expense ratio,Working capital is calculated by subtracting total current liabilities from total current farm assets. The ratio is calculated as working capital divided by total cash operating expenses.,30,Farm Business Financial Ratios,Percent
frdanum,Debt/asset ratio,The debt/asset ratio is defined as total liabilities divided by total assets. This ratio indicates the risk associated with the operation's financial structure.,40,Farm Business Financial Ratios,Percent
frroanum,Rate of return on assets,"Rate of return on assets is defined as net farm income plus interest expenses minus estimated charges for operator labor and management, divided by total assets.  This ratio reveals the returns received by the farm operator for both debt and equity capital invested.",50,Farm Business Financial Ratios,Percent
frroenum,Rate of return on equity,"Rate of return on equity equals net farm income minus estimated charges for operator labor and management, divided by net worth.  This ratio indicates the relationship between net profits and equity of the farm business.  A negative return on equity is a relative measure of financial stress.  The absolute size of the ratio roughly measures the rate at which a farm business is adding to or consuming from its own capital stock.",60,Farm Business Financial Ratios,Percent
fropmnum,Operating profit margin,The profit margin ratio is calculated as net farm income divided by production value and indicates the farm operator's ability to control the level of farm business costs relative to the volume of revenues generated.,70,Farm Business Financial Ratios,Percent
frdcnum,Term debt coverage ratio,This ratio is a variant of the term debt and capital lease coverage ratio recommended by the Farm Financial Standards Council. It measures income available for debt coverage relative to required debt service payments. It is defined as net farm income plus depreciation plus interest on term debt divided by annual scheduled principal and interest payments on term debt.,80,Farm Business Financial Ratios,Number of times
fratnum,Asset turnover ratio,"The asset turnover ratio, which is calculated as the farm production value divided by total farm assets, measures the income generated per dollar of assets used in production.",90,Farm Business Financial Ratios,Number of times
froenum,Operating expense ratio,"The operating expense ratio equals cash operating expenses divided by gross cash income of the farm business. This ratio measures the extent to which the cash income generated by the business is absorbed by the annual costs of production. The lower the ratio, the more effective the farm operation is in generating returns.",100,Farm Business Financial Ratios,Percent
freconum,Economic cost-to-output ratio,"Economic costs are calculated as total cash costs plus an allowance for depreciation, along with an imputed return to management and to unpaid labor of the operator and family labor.  The ratio is calculated as total economic costs divided by gross farm income.",110,Farm Business Financial Ratios,Percent
kount,Farms,Estimated number of farms.,10,Farm Business Income Statement,Number
igcfi,Gross cash farm income,"Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.  Gross cash income of farm operations excludes the value of products provided to landlords under share rental arrangements and any government payments received by landlords.  Commodities produced or marketed through contractual arrangements are treated separately so as to properly account for income and expenses associated with the farm operation.",20,Farm Business Income Statement,Dollars per farm
iliv,Livestock income,"The value of all livestock and poultry sold from the farm operation net of any marketing charges.  All sales of livestock through marketing contracts or payments received from prior years' contracts are also included.  For integrated operations, which do not sell the livestock but pass them on to another phase of the operation, an estimate of the value of the livestock moving through the operation is captured as sales.",30,Farm Business Income Statement,Dollars per farm
icrop,Crop sales,The amount received from cash sales and marketing or forward contracts for all crops plus the difference between Commodity Credit Corporation crop placements and redemptions.  Payments received for crops produced in previous years or delivered under prior year's marketing contracts are included.,40,Farm Business Income Statement,Dollars per farm
igovt,Government payments,"Gross value of direct government payments received by farm operations during the calendar year. Programs for which payments are received include: direct payments, counter-cyclical payments, loan deficiency payments (LDPs), marketing loan gains, peanut quota buyout program, milk income loss contract payments, disaster payments, conservation reserve program (CRP), wetlands reserve program (WRP), environmental quality incentive program (EQIP), and all other Federal and State programs.",50,Farm Business Income Statement,Dollars per farm
iothfm,Other farm-related income,"Includes income from machine-hire, custom work, livestock grazing, land rental, contract production fees, outdoor recreation, timber sales,  hedging profit or losses, insurance indemnities, cooperative patronage dividends and refunds, leasing of livestock and machinery or equipment, and any other farm-related source.",60,Farm Business Income Statement,Dollars per farm
etot,Total cash expenses,"Cash expenses represent the total amount of funds paid out by the farm operation during a calendar year.  Expenses paid by landlords or parties for which a contractual agreement existed during the year are excluded from cash expenses reported for farm operations.  Marketing charges such as commissions, storage, inspection, insurance, drying, check-offs, yardage, and auction are excluded from cash expenses.",70,Farm Business Income Statement,Dollars per farm
evtot,Variable expenses,Expenses incurred in the production process that vary with the quantity and prices of inputs used.,80,Farm Business Income Statement,Dollars per farm
evlvpur,Livestock purchases,"The total amount paid for livestock and poultry including commission, yardage, insurance and other associated fees. Breeding livestock treated as a depreciable capital is not included.",90,Farm Business Income Statement,Dollars per farm
evfeed,Feed,"Amount paid by the farm operation for all feed grains, hay, forages, mixed or formula feeds, concentrates, supplements, premixes, salt, minerals, animal byproducts, and all other feed additives and ingredients.",100,Farm Business Income Statement,Dollars per farm
evloth,Other livestock-related,"Amount paid by the farm operation during the calendar year for livestock leasing; custom feed processing, grinding or mixing of feed; bedding, litter, or straw; pasturing, grazing or custom feeding, veterinarian services or supplies, amount spent for sprays, dips, dusts or any other chemicals, sheep sheering, horse-shoeing, removal of dead animals, branding, artificial insemination and breeding fees, and performance testing.",110,Farm Business Income Statement,Dollars per farm
evseedp,Seed and plants,"Expenses for purchases of seeds, plants, and related expenses such as seed cleaning, inoculation, rooting hormones, bagging, germinating, and delinting",120,Farm Business Income Statement,Dollars per farm
evfertc,Fertilizer and chemicals,"Amount the farm operation paid for commercial fertilizers, lime and soil conditioners, pesticides, insecticides, herbicides, fungicides, defoliants, nematicides, fumigants, growth regulators, and rodenticides used on crops, pasture, acreage idled under government programs, seeds, crop storage buildings or seed beds.",130,Farm Business Income Statement,Dollars per farm
evutil,Utilities,"Farm operations' share of expenses for electricity, telephone, and water including charges for irrigation water and electricity.",140,Farm Business Income Statement,Dollars per farm
evlabor,Labor,"Expenses for contract and hired labor engaged in ""agricultural work"" during the calendar year.  Total cash wages include bonuses for all hired workers(including paid family members) and employees' share of social security taxes.  Costs associated with fringe benefits such as insurance, pensions, workers compensation, and unemployment compensation are also included in labor expense.  Wages paid to operators that are not hired managers are excluded.",150,Farm Business Income Statement,Dollars per farm
evfuelo,Fuels and oils,"Farm share of the operations' purchases of diesel, gasoline, liquid petroleum, natural gas, other fuels (kerosene, coal, wood), and motor oils and fluids. Includes fuels used for heating farm buildings and offices, drying or curing crops, and all machinery and equipment (including irrigation pumps).",160,Farm Business Income Statement,Dollars per farm
evmainr,Repairs and maintenance,"Amount paid by the operation for repairs and maintenance of motor vehicles, machinery and equipment, irrigation and frost protection equipment, farm buildings, the operator's dwelling, and any other labor dwellings, fencing, soil conservation structures, drainage structures, and any other farm or ranch structures (corrals, feedlots, feeding floors).",170,Farm Business Income Statement,Dollars per farm
evcwork,Machine-hire and custom work,"Amount spent by the operation for custom hauling and other custom work such as land tillage, planting or seeding, harvesting, and soil testing.  Custom work is defined as work preformed by machines and labor hired as a unit.",180,Farm Business Income Statement,Dollars per farm
evoth,Other variable expenses,"Includes supplies, motor vehicle registration fees, transportation and storage, and all other general business expenses (for example, fees paid to accountants or attorneys, registration of purebred animals, travel expenses, postage, and magazine subscriptions).",190,Farm Business Income Statement,Dollars per farm
eftot,Fixed expenses,"Represents costs incurred by the farm operation during the calendar year, even when there is no production.",200,Farm Business Income Statement,Dollars per farm
eftaxes,Real estate and property taxes,"Expenses for taxes on farm land, buildings, capital improvements, machines, livestock, and other property.  Includes all taxes paid during the calendar year even though they may have been levied in another year.",210,Farm Business Income Statement,Dollars per farm
efint,Interest,"Amount paid by the farm operation for interest on farm business loans and mortgages, land contracts, and other farm loans secured by real estate, finance charges for operating loans, machinery and equipment loans, or any other interest on non-real estate loans.",220,Farm Business Income Statement,Dollars per farm
efins,Insurance premiums,"Amount spent by the farm operation for Federal Crop Insurance, and the farm share of motor vehicle, liability, and blanket policies which provide more than one year's coverage.",230,Farm Business Income Statement,Dollars per farm
efrent,Rent and lease payments,"Expenses for land rental (including Public Industrial Grazing Association land), all vehicles, tractors, farm machinery, equipment, and structures leased.",240,Farm Business Income Statement,Dollars per farm
incfi,Net cash farm income,"This measure indicates the amount of net cash earnings from all business sources that a farm generates during the year.  These funds can be used to repay principal on indebtedness, purchase new machinery or equipment, expand the farm business, or pay for family consumption or other obligations.",250,Farm Business Income Statement,Dollars per farm
inmon,Nonmoney income,"An estimated value of items produced and consumed on the farm, and the imputed rental value of farm dwellings.",260,Farm Business Income Statement,Dollars per farm
ivalinv,Value of inventory change,"The change in the market value of all crops, livestock, or purchased inputs from January 1 of the calendar to December 31.",270,Farm Business Income Statement,Dollars per farm
endepr,Depreciation,An allocation of the portion of the original cost of a capital asset to each of the estimated years in which the asset will be used.  The type of depreciation reported on the survey typically resembles the figure reported on tax returns.,280,Farm Business Income Statement,Dollars per farm
enben,"Labor, non-cash benefits","Includes an estimate of the value of housing or lodging provided to workers, meals, fuel, vehicles, utilities, or payment in kind. An estimate of the value of products produced and consumed on the farm is provided by the survey respondent. The imputed rental value of farm dwellings is calculated for dwellings located on the farm and is based on rent-to-value ratios for different value ranges of the dwelling.",290,Farm Business Income Statement,Dollars per farm
breedingadj,Adjusted breeding livestock income,"The amount of unrecovered investment in breeding livestock upon sale, reflecting the difference between gross proceeds from the sale and the recognized gain after accounting for investment costs.",300,Farm Business Income Statement,Dollars per farm
infi,Net farm income,"Net farm income indicates the profit or loss associated with current production. It represents the return (both monetary and nonmonetary) to farm operators for their labor, management and capital after all production expenses have been paid (that is, gross farm income minus production expenses). It includes net income from farm production as well as net income attributed to the rental value of farm dwellings, the value of commodities consumed on the farm, depreciation, and inventory changes.",310,Farm Business Income Statement,Dollars per farm
igovtt,All government payments,"Total governnment payments include direct payments, countercyclical-type payments, marketing loan benefits, conservation payments, and other payments.",10,Government Payments,"1,000 Dollars"
kntdp,Farms,Estimated number of farms receiving a fixed direct payment.,10,Government Payments,Number
kount,Farms,Estimated number of farms.,10,Government Payments,Number
igovccpt,Countercyclical-type payments,"Countercyclical-type payments are made to producers of eligible crops, based on historical production of program crops, but the payment rates depend on market prices.  The countercyclical payment (CCP) program that began with the 2002 Farm Act ended in 2014, as did the countercyclical Average Crop Revenue Election (ACRE) program. Two new countercyclical-type programs have since been established: the Price Loss Coverage (PLC) program and the Agriculture Risk Coverage (ARC) program.",20,Government Payments,"1,000 Dollars"
kountg,Farms,Number of farms receiving government payments.,20,Government Payments,Number
kntccp,Farms,Number of farms receiving a countercyclical-type payment that are a function of commodity prices.,20,Government Payments,Number
kntmlb,Farms,Estimated number of farms receiving a marketing loan benefit.,30,Government Payments,Number
igovdpt,Direct payments,"Direct payments are payments made to producers based on eligible historical acreage of program crops and historical yields. Between 1996 and 2001, fixed payments were provided as production production flexibility contract (PFC) payments before being redesigned in the 2002 Farm Act as direct payments. These direct payments ended as a result of the Agricultural Act of 2014.",30,Government Payments,"1,000 Dollars"
kountn,Farms,Number of farms not receiving government payments.,30,Government Payments,Number
igovt,Average payments per farm,"Government payments received across all programs, all farms.",40,Government Payments,Dollars
kntcnsv,Farms,Number of farms receiving a conservation program payment.,40,Government Payments,Number
conspayt,Conservation payments,Conservation program payments are payments made to producers that include land-retirement programs where agricultural production cannot occur on land enrolled in the program as well as working-land programs that provide payments for maintaining or adopting resource conservzation practices on land in production.,40,Government Payments,"1,000 Dollars"
igovtg2,Average payments per farm,"Government payments received across all programs, all program participants.",50,Government Payments,Dollars
kntoth,Farms,Estimated number of farms receiving other types of payments including disaster and emergency payments.,50,Government Payments,Number
mlbt,Marketing loan benefits payments,"Marketing loan benefits, including Loan Deficiency Program payments, Marketing Loan Gains, and Certificate Exchange Gains, are payments made to farmers based on market prices for eligible commodities falling below program target prices. Marketing assistance loan programs are based on current production and tend to provide payments when market prices fall below target levels.",50,Government Payments,"1,000 Dollars"
igovdp1,Average government payment per participating farm,Direct payments received by direct payment program participants.,60,Government Payments,Dollars
igovtn1,Average payments per farm,"Government payments received across all programs, all non-participants.",60,Government Payments,Dollars
otherpayt,Other government program payments,"Other government program payments include payments from disaster relief programs and emergency payments. They tend to be temporary, as-needed Governemnt responses to droughts, floods, and other natural disasters. We include various other programs as well, including the milk income support programs, the tobacco transition program, peanut quota buyouts, and/or all other programs not specified in ARMS questionnaires.",60,Government Payments,"1,000 Dollars"
igcfi,Average gross cash farm income per farm,"For all farms, gross cash farm income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",70,Government Payments,Dollars
igovccp1,Average government payment per participating farm,Countercyclical-type payments received by countercyclical-type program participants.,70,Government Payments,Dollars
mlb2,Average government payment per participating farm,Marketing loan benefit payments received by marketing loan program participants.,80,Government Payments,Dollars
igcfig,Average gross cash farm income per farm,"For farms participating in government propgrams, gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",80,Government Payments,Dollars
conspay2,Average government payment per participating farm,Conservation payments received by conservation program participants.,90,Government Payments,Dollars
igcfin,Average gross cash farm income per farm,"For farms not participating in government programs, gross cash farm income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",90,Government Payments,Dollars
otherpay1,Average government payment per participating farm,Other government program payments received by other payment program participants.,100,Government Payments,Dollars
incfi,Average net cash farm income per farm,"For all farms, net cash farm income less cash expenses.",100,Government Payments,Dollars
igcfidp,Average gross cash farm income per participating farm,"Gross cash income for farms participating in direct payment programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",110,Government Payments,Dollars
incfig,Average net cash farm income per farm,"For all farms participating in any government programs, net cash farm income is gross cash income less cash expenses.",110,Government Payments,Dollars
igcficcp,Average gross cash farm income per participating farm,"Gross cash income for farms participating in countercyclical-type programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",120,Government Payments,Dollars
incfin,Average net cash farm income per farm,"For farms not participating in any governemnt programs, net cash farm income is gross cash income less cash expenses.",120,Government Payments,Dollars
igcfimlb,Average gross cash farm income per participating farm,"Gross cash income for farms participating in marketing loan benefit programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",130,Government Payments,Dollars
igcficnsv,Average gross cash farm income per participating farm,"Gross cash income for farms participating in conservation programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",140,Government Payments,Dollars
igcfioth,Average gross cash farm income per participating farm,"Gross cash income for farms participating in other types of programs. Gross cash income is the total amount of cash received by the farm operations from the sale of agricultural products, services rendered, or government payments received during a given calendar year.",150,Government Payments,Dollars
incfidp,Average net cash farm income per participating farm,Net cash farm income for farms particpating in direct payment programs. Net cash farm income is gross cash farm income less cash expenses.,160,Government Payments,Dollars
incficcp,Average net cash farm income per participating farm,Net cash income for farms particpating in countercyclical-type programs. Net cash farm income is gross cash farm income less cash expenses.,170,Government Payments,Dollars
incfimlb,Average net cash farm income per participating farm,Net cash farm income for farms particpating in marketing loan benefit programs. Net cash farm income is gross cash farm income less cash expenses.,180,Government Payments,Dollars
incficnsv,Average net cash farm income per participating farm,Net cash income for farms particpating in conservation programs. Net cash farm income is gross cash farm income less cash expenses.,190,Government Payments,Dollars
incfioth,Average net cash farm income per participating farm,Net cash farm income for farms particpating in conservation programs. Net cash farm income is gross cash farm income less cash expenses.,200,Government Payments,Dollars
kount,Farm Households (HH),Estimated number of farm households.,10,Operator Household Balance Sheet,Number
hhasset,Total operator household assets,"The estimated market value of household assets reported by the farm operator including cash, checking, CD's, Money Market accounts, IRA, 401K, Keogh and other retirement accounts, corporate stock, mutual funds, value of the operator's dwelling if not owned by the farm, real estate, business not part of the farm, and household vehicles.",20,Operator Household Balance Sheet,Dollars per HH
fasst,Total operator household assets: Farm,"Farm operator household's share of total farm business assets. Total assets represents the survey respondents' estimated market value on December 31 of all capital assets owned by the farm operation. For operations where the operator dwelling is considered part of the farm and located on the farm, the value of the dwelling is included.",30,Operator Household Balance Sheet,Dollars per HH
nfasst,Total operator household assets: Non-farm,Estimated market value of farm operator's household assets on December 31.,40,Operator Household Balance Sheet,Dollars per HH
hhdebt,Total operator household debt,"The amount of household debt on December 31, including mortgages on the dwelling if not owned by the farm, mortgages on other real estate, loans on businesses not part of the farm, and personal loans and credit cards.",50,Operator Household Balance Sheet,Dollars per HH
fdebt,Total operator household debt: Farm,"Farm operator household's share of total farm liabilities. Total liabilities are composed of any monetary obligations of the farm operation on December 31. The amount reported includes principal due and any unpaid interest.  Debts for nonfarm purposes, even if farm or ranch assest are used as collateral, are excluded.",60,Operator Household Balance Sheet,Dollars per HH
nfdebt,Total operator household debt: Non-Farm,Amount of debt obligations of the farm operator household on December 31.,70,Operator Household Balance Sheet,Dollars per HH
hhnw,Total Operator household net worth,"Total farm household assets minus total farm household debt.  Farm household wealth is derived from a variety of sources. It ranges from physical assets of both the business and household to various types of financial assets, all differing in degree of liquidity, capital certainty, and visibility.",80,Operator Household Balance Sheet,Dollars per HH
fnw,Total operator household net worth: Farm,The farm operator's household share of farm business net worth (farm business assets minus farm business liabilities).,90,Operator Household Balance Sheet,Dollars per HH
nfnw,Total operator household net worth: Non-farm,Calculated as non-farm assets of the farm operator household minus non-farm debt.,100,Operator Household Balance Sheet,Dollars per HH
kount,Farm Households (HH),Estimated number of farm households,10,Operator Household Income,Number
tothhi,Total operator household income (HHI),"Total income for the farm operator household consists of income from the farm business, income from other farming activities, and income from earned and unearned off-farm sources.",20,Operator Household Income,Dollars per HH
farmhhi,Total operator household income from farming activities,"Total income for the farm operator household consists of income from the farm business, income from other farming activities, and income from earned and unearned off-farm sources.",30,Operator Household Income,Dollars per HH
totofi,Total operator household income from off-farm sources,"Off-farm income can be classified as earned or unearned. Earned income sources are those that require a household member to allocate their labor or management time to the activity. This includes wages and salaries and off-farm self-employment income. Unearned income sources are passive or transfer income, such as from interest, dividends, private pensions, Social Security, veterans' benefits, and other public programs.",40,Operator Household Income,Dollars per HH
fmhhtot,Percent of U.S. average household income,Farm operator household income as a percentage of the U.S. Census Bureau's measure for all U.S. households (http://www.census.gov/cps/).,50,Operator Household Income,Percent
agi,Adjusted gross income (AGI),"AGI is modeled as total income for the farm operator household less adjustment to household income including any self-employed health insurance deductions and the deduction for half of the self-employment tax, using data from ARMS data. See Williamson and Bawa at https://www.ers.usda.gov/webdocs/publications/89356/err-252.pdf?v=4613.1.",60,Operator Household Income,Dollars per HH
kount,Farms,Estimated number of farms,10,Structural Characteristics,Number
vprodtot,Total value of production,Total value of production,20,Structural Characteristics,"1,000 Dollars"
tacres,Total acres operated,Total acres operated,30,Structural Characteristics,"1,000 Acres"
acres,Acres operated per farm,The number of acres owned by the operation plus the number of acres rented from others minus the number of acres rented to others.,40,Structural Characteristics,Acres
ten1,Farms by tenure: Full owner,The share of farms in the report column that own all of the land operated.,50,Structural Characteristics,Percent of farms
ten2,Farms by tenure: Part owner,The share of farms in the report column that own some of the land operated.,60,Structural Characteristics,Percent of farms
ten3,Farms by tenure: Tenant,The share of farms in the report column that rent all of the land operated.,70,Structural Characteristics,Percent of farms
opoc1,Operator occupation: Farming,The share of farm operators in the report column that reported farming as their primary occupation,80,Structural Characteristics,Percent of farms
opoc2,Operator occupation: Something else,The share of farm operators in the report column that reported something else (other than farming or retired) as their primary occupation,90,Structural Characteristics,Percent of farms
opoc3,Operator occupation: Retired,The share of farm operators in the report column that reported retired as their primary occupation,100,Structural Characteristics,Percent of farms
oped1,Operator education: Less than high school,The share of farm operators in the report column that did not complete high school,110,Structural Characteristics,Percent of farms
oped2,Operator education: Completed high school,The share of farm operators in the report column that completed high school,120,Structural Characteristics,Percent of farms
oped3,Operator education: Some college,The share of farm operators in the report column that completed some college (less than 4 years).,130,Structural Characteristics,Percent of farms
oped4,Operator education: Completed 4 years or more of college,The share of farm operators in the report column that completed 4 years or more of college.,140,Structural Characteristics,Percent of farms
ophr1,Operator hours worked annually on farm: Less than 500,The share of farm operators in the report column that worked less than 500 hours on the farm,150,Structural Characteristics,Percent of farms
ophr2,Operator hours worked annually on farm: 500 to 999,The share of farm operators in the report column that worked between 500 and 999 hours on the farm,160,Structural Characteristics,Percent of farms
ophr3,"Operator hours worked annually on farm: 1,000 to 1,999","The share of farm operators in the report column that worked between 1000 and 1,999 hours on the farm",170,Structural Characteristics,Percent of farms
ophr4,"Operator hours worked annually on farm: 2,000 or more","The share of farm operators in the report column that worked 2,000 hours or more on the farm.",180,Structural Characteristics,Percent of farms
