,State,CountyName,CENSUS TRACT,Urban,Total Population,Percentage of people with low access to a supermarket or large grocery store,Number of people with low access to a supermarket or large grocery store,Percentage of total population that is low-income and has low access to a supermarket or large grocery store,Number of low-income people with low access to a supermarket or large grocery store,Percentage of housing units without a vehicle with low access to a supermarket or large grocery store,Number of housing units without a vehicle with low access to a supermarket or large grocery store,Percentage of children age 0-17 with low access to a supermarket or large grocery store,Number of children age 0-17 with low access to a supermarket or large grocery store,Percentage of people age 65+ with low access to a supermarket or large grocery store,Number of people age 65+ with low access to a supermarket or large grocery store,Median Income_x,Median Income no benefits_x,Median Income w benefits_x,Total HH,HH above poverty level,HH below Poverty Level,HH receiving benefits,HH not receiving benefits,HH White alone ,HH Black Alone,HH American Indian alone,HH Asian alone,HH Pacific Islander alone,HH Other race alone,HH Two or more races,HH Hispanic or Latino origin (any race),Total Median Income,Median Income_y,Median Income no benefits_y,Median Income w benefits_y,Median Income,Median Income no benefits,Median Income w benefits
0,IL,Cook,17031420100,Yes,1420,100.0,1420,28.2,391,60.5,409,26.9,382,19.9,282,19750,27287,16097,755,475,280,383,372,28,700,0,8,0,0,19,18,19750,19750,27287,16097,19750,27287,16097
1,IL,Cook,17031491400,Yes,3792,45.2,1713,15.7,590,18.8,235,14.9,564,3.4,128,29737,36932,23769,1130,767,363,615,515,22,1098,0,0,0,0,10,17,29737,29737,36932,23769,29737,36932,23769
2,IL,Cook,17031500200,Yes,2362,21.8,516,10.1,238,7.8,61,8.7,206,1.1,26,27247,58750,21359,791,512,279,477,314,6,753,0,0,0,0,32,0,27247,27247,58750,21359,27247,58750,21359
3,IL,Cook,17031500300,Yes,1959,100.0,1959,23.0,443,30.9,255,26.0,510,12.2,239,42263,44878,13036,729,547,182,129,600,387,300,0,2,0,9,31,69,42263,42263,44878,13036,42263,44878,13036
4,IL,Cook,17031510100,Yes,3741,33.0,1233,5.5,204,5.6,64,10.7,400,4.4,165,36081,44596,27679,1016,706,310,328,688,763,157,0,0,0,96,0,710,36081,36081,44596,27679,36081,44596,27679
5,IL,Cook,17031510300,Yes,6068,34.4,2089,7.5,455,7.2,148,10.4,629,3.3,202,30069,46979,17344,1947,1541,406,731,1216,18,1929,0,0,0,0,0,12,30069,30069,46979,17344,30069,46979,17344
6,IL,Cook,17031520100,Yes,2298,34.5,793,5.0,117,3.7,23,13.0,298,2.1,48,41875,50288,36875,484,422,62,179,305,359,43,0,0,0,72,10,380,41875,41875,50288,36875,41875,50288,36875
7,IL,Cook,17031530100,Yes,3169,100.0,3169,35.3,1109,34.1,298,37.4,1185,7.7,244,35875,39844,24922,759,533,226,349,410,340,349,8,0,0,62,0,404,35875,35875,39844,24922,35875,39844,24922
8,IL,Cook,17031530600,Yes,4010,77.6,3113,21.4,874,15.4,198,26.5,1063,6.1,246,32566,47083,16653,950,717,233,429,521,11,909,0,0,0,0,30,5,32566,32566,47083,16653,32566,47083,16653
9,IL,Cook,17031612100,Yes,1720,100.0,1720,38.0,694,49.4,253,37.2,640,9.6,165,24900,26711,21591,354,276,78,198,156,6,331,0,0,0,11,6,17,24900,24900,26711,21591,24900,26711,21591
10,IL,Cook,17031770500,Yes,3656,97.5,3564,14.1,514,9.8,124,29.6,1084,7.0,257,42399,48929,24375,1095,796,299,225,870,950,0,10,0,0,120,15,819,42399,42399,48929,24375,42399,48929,24375
11,IL,Cook,17031805107,Yes,7074,37.5,2655,3.3,231,1.7,51,7.4,523,2.1,147,49161,50662,32569,2857,2605,252,374,2483,1753,255,0,419,0,339,91,793,49161,49161,50662,32569,49161,50662,32569
12,IL,Cook,17031807000,Yes,5280,37.7,1992,1.5,76,2.4,48,9.7,511,5.9,312,60542,63688,39736,2007,1764,243,213,1794,1223,216,0,499,0,42,27,226,60542,60542,63688,39736,60542,63688,39736
13,IL,Cook,17031811701,Yes,4694,29.5,1386,1.7,76,0.8,10,9.0,424,2.4,113,54691,62969,48810,1203,987,216,256,947,895,33,0,26,0,244,5,713,54691,54691,62969,48810,54691,62969,48810
14,IL,Cook,17031821500,Yes,2779,59.6,1656,23.7,650,12.5,96,30.1,836,1.8,51,30222,36875,19063,664,439,225,257,407,27,614,0,0,0,5,18,5,30222,30222,36875,19063,30222,36875,19063
15,IL,Cook,17031823603,Yes,3060,100.0,3060,29.3,895,22.3,171,38.6,1181,6.9,211,40521,44231,20882,614,445,169,152,462,208,263,20,0,0,123,0,324,40521,40521,44231,20882,40521,44231,20882
16,IL,Cook,17031824300,Yes,5299,88.3,4680,28.1,1481,21.1,358,25.2,1334,12.5,661,26342,33589,18324,1620,1011,609,683,937,114,1495,11,0,0,0,0,75,26342,26342,33589,18324,26342,33589,18324
17,IL,Cook,17031824400,Yes,2265,26.6,603,6.1,120,1.9,13,10.2,230,3.4,77,31694,38790,14432,805,662,143,85,720,473,277,13,7,0,35,0,93,31694,31694,38790,14432,31694,38790,14432
18,IL,Cook,17031824900,Yes,2805,60.3,1691,9.8,277,2.4,21,19.3,541,6.0,168,34000,42468,24844,1108,883,225,393,715,266,793,0,13,0,36,0,83,34000,34000,42468,24844,34000,42468,24844
19,IL,Cook,17031825700,Yes,4170,81.5,3398,8.2,316,7.3,106,23.6,986,7.4,308,43983,50568,14886,1457,1103,354,343,1114,511,850,0,4,0,68,24,302,43983,43983,50568,14886,43983,50568,14886
20,IL,Cook,17031825801,Yes,4085,100.0,4085,14.9,604,12.3,201,31.2,1274,10.6,433,44456,49966,30652,1341,1058,283,332,1009,99,1235,0,7,0,0,0,18,44456,44456,49966,30652,44456,49966,30652
21,IL,Cook,17031825803,Yes,6181,28.2,1743,2.8,175,2.3,54,7.3,452,4.6,283,47423,60690,24919,2441,2046,395,721,1720,272,2086,0,0,0,70,13,147,47423,47423,60690,24919,47423,60690,24919
22,IL,Cook,17031826100,Yes,6502,7.8,506,0.5,32,1.3,32,2.0,130,1.1,75,47390,54257,33107,2151,1790,361,807,1344,874,1255,0,13,0,9,0,330,47390,47390,54257,33107,47390,54257,33107
23,IL,Cook,17031826700,Yes,6253,100.0,6253,16.6,1031,15.3,333,35.4,2216,6.2,389,31725,32436,29375,2083,1476,607,701,1382,136,1921,26,0,0,0,0,21,31725,31725,32436,29375,31725,32436,29375
24,IL,Cook,17031826800,Yes,5458,52.6,2870,12.6,680,7.4,145,15.9,870,5.4,296,37846,42273,28906,1685,1221,464,411,1274,568,940,0,10,0,133,34,499,37846,37846,42273,28906,37846,42273,28906
25,IL,Cook,17031827000,Yes,4317,100.0,4317,18.6,813,11.6,151,34.8,1503,6.4,275,31716,37645,20513,1340,963,377,344,996,65,1226,0,0,0,31,18,67,31716,31716,37645,20513,31716,37645,20513
26,IL,Cook,17031827100,Yes,3455,65.1,2248,10.0,343,11.8,128,23.5,811,3.3,114,28405,45170,13083,1061,693,368,401,660,81,926,0,22,0,25,7,54,28405,28405,45170,13083,28405,45170,13083
27,IL,Cook,17031827500,Yes,5685,11.6,661,1.0,57,1.1,18,3.3,187,1.0,59,37350,45839,24653,1699,1287,412,462,1237,304,1203,14,0,0,178,0,349,37350,37350,45839,24653,37350,45839,24653
28,IL,Cook,17031827700,Yes,3174,100.0,3174,11.9,369,6.6,69,33.5,1064,7.7,244,36657,43507,19189,918,676,242,263,655,223,682,0,7,0,6,0,67,36657,36657,43507,19189,36657,43507,19189
29,IL,Cook,17031828900,Yes,3895,14.3,559,1.3,50,1.3,16,4.9,190,1.0,39,39318,52064,9705,1152,742,410,321,831,286,533,0,0,0,333,0,423,39318,39318,52064,9705,39318,52064,9705
30,IL,Cook,17031829000,Yes,2070,29.7,615,11.4,238,10.0,71,14.1,292,2.3,47,19716,37031,15078,447,225,222,255,192,10,437,0,0,0,0,0,10,19716,19716,37031,15078,19716,37031,15078
31,IL,Cook,17031829700,Yes,4810,47.4,2280,6.3,299,3.6,52,14.4,694,4.5,217,39044,49978,20500,1489,1087,402,576,913,323,1066,0,28,0,17,55,92,39044,39044,49978,20500,39044,49978,20500
32,IL,Cook,17031830001,Yes,1884,100.0,1884,6.6,124,7.2,69,10.4,195,39.5,745,40417,41688,37821,1136,1009,127,139,997,1018,81,0,20,0,0,17,162,40417,40417,41688,37821,40417,41688,37821
