STORE NAME,SQUARE FEET,BUFFER SIZE,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,CENSUS TRACT,LATITUDE,LONGITUDE,LOCATION
Natural Country Deli,3500.0,B,60631,NORWOOD PARK,10,17031100200,41.9984929696,-87.7890953687,"(41.9984929696, -87.7890953687)"
LOGAN CERTIFIED FOODS CORP,4500.0,B,60647,LOGAN SQUARE,22,17031220400,41.93197047,-87.699931619,"(41.93197047, -87.699931619)"
JEWEL FOOD STORE #3170,30374.0,A,60632,WEST ELSDON,62,17031620200,41.7961975914,-87.7233918834,"(41.7961975914, -87.7233918834)"
MOUNSEF INTERNATIONAL,10001.0,A,60625,ALBANY PARK,14,17031140701,41.9677930872,-87.7086027049,"(41.9677930872, -87.7086027049)"
EL YUNQUE FOOD & LIQUOR,2500.0,B,60647,LOGAN SQUARE,22,17031222500,41.9157610232,-87.6972958109,"(41.9157610232, -87.6972958109)"
"SEVEN NINE ELEVEN FOOD MART, INC.",4300.0,B,60632,ARCHER HEIGHTS,57,17031570400,41.8046211506,-87.7199070655,"(41.8046211506, -87.7199070655)"
A & R FOOD MART,2500.0,B,60639,BELMONT CRAGIN,19,17031191302,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
GRAND FOOD MARKET,3952.0,B,60639,BELMONT CRAGIN,19,17031191200,41.9170677465,-87.7560413324,"(41.9170677465, -87.7560413324)"
SAM FOOD AND LIQUOR,3000.0,B,60626,ROGERS PARK,1,17031010502,42.005944816100005,-87.6611747511,"(42.0059448161, -87.6611747511)"
ALMUFLIHI FOOD & LIQUOR,4500.0,B,60609,NEW CITY,61,17031612100,41.7958707987,-87.6453441182,"(41.7958707987, -87.6453441182)"
PETE'S MEAT & GROCERY #2,7500.0,B,60636,WEST ENGLEWOOD,67,17031672000,41.764696121,-87.67359278469999,"(41.764696121, -87.6735927847)"
FIVE STAR CERTIFIED INC,5000.0,B,60620,AUBURN GRESHAM,71,17031711400,41.7359084057,-87.64742288030001,"(41.7359084057, -87.6474228803)"
Dominick's #1703,49320.0,A,60611,NEAR NORTH SIDE,8,17031081403,41.8916898398,-87.6204441348,"(41.8916898398, -87.6204441348)"
SUPER MERCADO EL GUERRO,9375.0,B,60609,NEW CITY,61,17031611300,41.8084712383,-87.6674545133,"(41.8084712383, -87.6674545133)"
PETE'S FRESH SUPERMARKET,,A,60608,SOUTH LAWNDALE,30,17031840700,41.85210065,-87.68905111,"(41.85210065, -87.68905111)"
Chicago Health - Maple Street,2900.0,B,60610,NEAR NORTH SIDE,8,17031081100,41.9019825524,-87.6292631031,"(41.9019825524, -87.6292631031)"
NEW POP-IN,8784.0,B,60612,EAST GARFIELD PARK,27,17031271200,41.8754237451,-87.7058203625,"(41.8754237451, -87.7058203625)"
W & R FOOD & LIQUOR INC,2700.0,B,60649,SOUTH CHICAGO,46,17031460500,41.7514187003,-87.5822058165,"(41.7514187003, -87.5822058165)"
"Kan-Zaman Mart, Inc.",4600.0,B,60616,NEAR SOUTH SIDE,33,17031330100,41.855317671,-87.6237265152,"(41.855317671, -87.6237265152)"
Z & S FOOD & LIQUOR,6000.0,B,60620,AUBURN GRESHAM,71,17031711400,41.7357569772,-87.65782823469999,"(41.7357569772, -87.6578282347)"
DEVON MARKET,18500.0,A,60660,ROGERS PARK,1,17031010600,41.9982282538,-87.66710446649999,"(41.9982282538, -87.6671044665)"
JEWEL FOOD STORE #3176,32294.0,A,60620,WASHINGTON HEIGHTS,73,17031730300,41.7229412182,-87.66286287129999,"(41.7229412182, -87.6628628713)"
ORLEANS MARKET,3002.0,B,60610,NEAR NORTH SIDE,8,17031081800,41.8908642852,-87.6363291879,"(41.8908642852, -87.6363291879)"
CAESAR'S FOODS INC,10001.0,A,60622,WEST TOWN,24,17031242200,41.8977792769,-87.6769588663,"(41.8977792769, -87.6769588663)"
HAPPY FOODS,11000.0,A,60631,EDISON PARK,9,17031090200,42.0043992612,-87.8184857554,"(42.0043992612, -87.8184857554)"
"WAY LOW DISCOUNT FOOD, INC.",2500.0,B,60623,NORTH LAWNDALE,29,17031843100,41.8598459614,-87.705338554,"(41.8598459614, -87.705338554)"
ZEE DOLLAR AND FOOD,3000.0,B,60619,GREATER GRAND CROSSING,69,17031691300,41.758293315,-87.6153541087,"(41.758293315, -87.6153541087)"
J R GROCERY STORE,10001.0,A,60827,RIVERDALE,54,17031540101,41.6517610645,-87.6093666123,"(41.6517610645, -87.6093666123)"
CENTRO MARKET,9100.0,B,60632,GAGE PARK,63,17031630400,41.799257043699996,-87.7035747066,"(41.7992570437, -87.7035747066)"
SAVE-A-LOT  #852,14166.0,A,60649,SOUTH SHORE,43,17031430400,41.7630223653,-87.5863901619,"(41.7630223653, -87.5863901619)"
"TONY'S FINER FOODS ENTERPRISES, INC.",33000.0,A,60641,PORTAGE PARK,15,17031151002,41.9389938243,-87.74269898950001,"(41.9389938243, -87.7426989895)"
FOOD 4 LESS MIDWEST #789,64486.0,A,60609,NEW CITY,61,17031610300,41.809668528,-87.6751156964,"(41.809668528, -87.6751156964)"
ADAMS FOOD MART,2500.0,B,60644,AUSTIN,25,17031251600,41.8910335471,-87.7553096457,"(41.8910335471, -87.7553096457)"
DOLLAR & LINEN,5800.0,B,60620,AUBURN GRESHAM,71,17031711300,41.7355890742,-87.66995172629998,"(41.7355890742, -87.6699517263)"
ALDI INC STORE 14,15000.0,A,60644,AUSTIN,25,17031831400,41.8673156479,-87.76559794299999,"(41.8673156479, -87.765597943)"
RICHWELL MARKET,7500.0,B,60616,LOWER WEST SIDE,31,17031843200,41.8566571782,-87.6387533453,"(41.8566571782, -87.6387533453)"
WALGREENS #05034,,A,60629,CHICAGO LAWN,66,17031660600,41.77842134,-87.70297606,"(41.77842134, -87.70297606)"
DOMINICK'S # 12/0012,10001.0,A,60660,EDGEWATER,77,17031030101,41.9911817534,-87.6601550832,"(41.9911817534, -87.6601550832)"
BUDGET FINER FOODS,3200.0,B,60626,ROGERS PARK,1,17031010502,42.0027261067,-87.66093836639999,"(42.0027261067, -87.6609383664)"
DISCOUNT PANTRY CORPORATION,3600.0,B,60629,WEST LAWN,65,17031650301,41.7784929073,-87.727327519,"(41.7784929073, -87.727327519)"
PAR BIRDIE FOODS,6000.0,B,60659,WEST RIDGE,2,17031020500,41.9979009735,-87.68637821790001,"(41.9979009735, -87.6863782179)"
JEWEL FOOD STORE #3441,22443.0,A,60657,LAKE VIEW,6,17031062600,41.9354720327,-87.66865454309999,"(41.9354720327, -87.6686545431)"
CHARLIES  SUPERMARKET INC.,2500.0,B,60618,IRVING PARK,16,17031160601,41.9611144263,-87.7025869386,"(41.9611144263, -87.7025869386)"
JEWEL FOOD STORE #3501,56010.0,A,60618,NORTH CENTER,5,17031843700,41.943187373200004,-87.6883020207,"(41.9431873732, -87.6883020207)"
4343 PETES FRESH MARKET,57000.0,A,60632,ARCHER HEIGHTS,57,17031570100,41.8139143113,-87.72366494190001,"(41.8139143113, -87.7236649419)"
LA FERIA GROCERY,10001.0,A,60617,SOUTH DEERING,51,17031510100,41.7189121563,-87.55117429719999,"(41.7189121563, -87.5511742972)"
POTASH BROS INC,10001.0,A,60610,NEAR NORTH SIDE,8,17031081201,41.898878197399995,-87.6281111483,"(41.8988781974, -87.6281111483)"
IMPERIAL TOWER MARKET,6031.0,B,60613,UPTOWN,3,17031031400,41.960019954,-87.6469060276,"(41.960019954, -87.6469060276)"
MOO & OINK INC,21500.0,A,60644,AUSTIN,25,17031251800,41.8805838854,-87.7470529414,"(41.8805838854, -87.7470529414)"
Save-A-Lot #882,16290.0,A,60637,WASHINGTON PARK,40,17031400800,41.7803216101,-87.61713538040001,"(41.7803216101, -87.6171353804)"
MARKET IN THE PARK,5049.0,B,60615,KENWOOD,39,17031390700,41.8028797781,-87.5818436939,"(41.8028797781, -87.5818436939)"
SUN LIQUORS,4350.0,B,60660,EDGEWATER,77,17031030102,41.9944657079,-87.6583928132,"(41.9944657079, -87.6583928132)"
SUPERMERCADO CHAPALA,10001.0,A,60626,ROGERS PARK,1,17031010702,42.0119757995,-87.67438405780001,"(42.0119757995, -87.6743840578)"
SUPERMERCADO GELA'S,3125.0,B,60623,SOUTH LAWNDALE,30,17031301701,41.8424245295,-87.7170303155,"(41.8424245295, -87.7170303155)"
FARM SUPER MARKET,3000.0,B,60659,WEST RIDGE,2,17031020901,41.9976669579,-87.68721345600001,"(41.9976669579, -87.687213456)"
ALDI INC #53,13981.0,A,60638,GARFIELD RIDGE,56,17031560700,41.796380489499995,-87.75734757219999,"(41.7963804895, -87.7573475722)"
ALDI INC #64,11760.0,A,60647,WEST TOWN,24,17031831000,41.91358779,-87.6822028354,"(41.91358779, -87.6822028354)"
EDDIE & SON FOOD &LIQ.,2500.0,B,60647,HUMBOLDT PARK,23,17031230400,41.9100926711,-87.71757535319999,"(41.9100926711, -87.7175753532)"
LA CASA DEL PUEBLO INC,10001.0,A,60608,LOWER WEST SIDE,31,17031310600,41.8574527464,-87.66168833110001,"(41.8574527464, -87.6616883311)"
ALDI'S,15255.0,A,60640,UPTOWN,3,17031830700,41.9637889643,-87.6566064924,"(41.9637889643, -87.6566064924)"
FAIRPLAY FINER FOOD,10001.0,A,60608,LOWER WEST SIDE,31,17031841300,41.8519838396,-87.6857857042,"(41.8519838396, -87.6857857042)"
LARAMIE BAKERY & DELI,12331.0,A,60634,DUNNING,17,17031170800,41.9389859689,-87.8069290648,"(41.9389859689, -87.8069290648)"
B & H FOOD & GROCERY,4500.0,B,60612,EAST GARFIELD PARK,27,17031837300,41.872350043000004,-87.7032726418,"(41.872350043, -87.7032726418)"
FRUTERIA EL MERCADO,5500.0,B,60623,SOUTH LAWNDALE,30,17031840800,41.8409331636,-87.7072241769,"(41.8409331636, -87.7072241769)"
MANDY'S LIQUOR,3000.0,B,60640,LINCOLN SQUARE,4,17031830800,41.9686561373,-87.678438479,"(41.9686561373, -87.678438479)"
ALDI #28,15154.0,A,60632,BRIGHTON PARK,58,17031630300,41.8034457131,-87.7039862718,"(41.8034457131, -87.7039862718)"
THE MARKET PLACE FOODSTORE,16900.0,A,60614,LINCOLN PARK,7,17031070102,41.9327439571,-87.6422188452,"(41.9327439571, -87.6422188452)"
EDDIE'S FOOD MART,4500.0,B,60636,WEST ENGLEWOOD,67,17031670600,41.7794611564,-87.67143667149999,"(41.7794611564, -87.6714366715)"
RIVERSIDE DELI,5500.0,B,60622,LOGAN SQUARE,22,17031832300,41.916186115,-87.6701349439,"(41.916186115, -87.6701349439)"
FOODSMART,13800.0,A,60647,LOGAN SQUARE,22,17031222500,41.9173585451,-87.69934106870001,"(41.9173585451, -87.6993410687)"
SUPERMARKET & TAQUERIA CARO,4524.0,B,60638,GARFIELD RIDGE,56,17031560300,41.807460877800004,-87.747060571,"(41.8074608778, -87.747060571)"
H & Z GROCERY STORE,10001.0,A,60647,LOGAN SQUARE,22,17031220702,41.928345251399996,-87.71867089950001,"(41.9283452514, -87.7186708995)"
SEVEN ELEVEN,3000.0,B,60613,LAKE VIEW,6,17031060100,41.961523824699995,-87.66603985559999,"(41.9615238247, -87.6660398556)"
ALDI FOODS #91,15565.0,A,60624,WEST GARFIELD PARK,26,17031260800,41.8806594115,-87.72219366889999,"(41.8806594115, -87.7221936689)"
ALDI'S,11179.0,A,60707,BELMONT CRAGIN,19,17031831500,41.9237604017,-87.7887477626,"(41.9237604017, -87.7887477626)"
LORETO GROCERY,4499.0,B,60632,BRIGHTON PARK,58,17031842800,41.8100014783,-87.6931813523,"(41.8100014783, -87.6931813523)"
LUX 2 FOOD & LIQUOR,2500.0,B,60620,AUBURN GRESHAM,71,17031710200,41.7561626996,-87.6528196032,"(41.7561626996, -87.6528196032)"
AROUND THE CLOCK,3000.0,B,60626,ROGERS PARK,1,17031010202,42.0192651821,-87.6715720734,"(42.0192651821, -87.6715720734)"
COUNTY FAIR FOODS,10001.0,A,60643,MORGAN PARK,75,17031750300,41.6972382088,-87.68147480420001,"(41.6972382088, -87.6814748042)"
LAWNDALE FOOD MARKET,6000.0,B,60623,NORTH LAWNDALE,29,17031292200,41.8588339683,-87.7178671863,"(41.8588339683, -87.7178671863)"
"HYDE PARK PRODUCE, LTD",10000.0,A,60615,HYDE PARK,41,17031410700,41.7995768022,-87.59551292190001,"(41.7995768022, -87.5955129219)"
KHALIL FOOD & LIQUOR,3000.0,B,60628,ROSELAND,49,17031490700,41.707218139,-87.6277515583,"(41.707218139, -87.6277515583)"
ALDI FOODS STORE #90B,15565.0,A,60634,BELMONT CRAGIN,19,17031190402,41.9321576791,-87.76642459879999,"(41.9321576791, -87.7664245988)"
SUNRISE FOOD AND LIQUORS,7000.0,B,60651,HUMBOLDT PARK,23,17031231500,41.895314759,-87.72019984149999,"(41.895314759, -87.7201998415)"
BOULEVARD FOOD & LIQUOR LLC,3350.0,B,60634,PORTAGE PARK,15,17031150402,41.9531825896,-87.77525937530001,"(41.9531825896, -87.7752593753)"
SAVE-A-LOT  # 858,12000.0,A,60617,SOUTH CHICAGO,46,17031460302,41.7447308395,-87.5540391375,"(41.7447308395, -87.5540391375)"
ADA FOODS,4500.0,B,60636,WEST ENGLEWOOD,67,17031671800,41.764894181399995,-87.6573078048,"(41.7648941814, -87.6573078048)"
THE NEIGHBORHOOD STORE,4200.0,B,60620,AUBURN GRESHAM,71,17031711000,41.7427877337,-87.6533842508,"(41.7427877337, -87.6533842508)"
"S & K FOOD & LIQUOR, INC.",10001.0,A,60649,SOUTH SHORE,43,17031431302,41.758992761799995,-87.5603778108,"(41.7589927618, -87.5603778108)"
AM-PM FOOD MART & CELLULAR,3500.0,B,60617,AVALON PARK,45,17031450300,41.7371462539,-87.5770809934,"(41.7371462539, -87.5770809934)"
"MORELIA SUPERMARKET, INC.",8000.0,B,60645,WEST RIDGE,2,17031020200,42.0141839829,-87.6903783498,"(42.0141839829, -87.6903783498)"
DOMINICKS #2890,55129.0,A,60640,EDGEWATER,77,17031030706,41.976481667600005,-87.6548397772,"(41.9764816676, -87.6548397772)"
WALMART,,A,60609,NEW CITY,61,17031842600,41.80876829,-87.66098821,"(41.80876829, -87.66098821)"
ALDI'S #93,16890.0,A,60620,ASHBURN,70,17031700100,41.756035091,-87.6828583216,"(41.756035091, -87.6828583216)"
TREASURE ISLAND FOODS,10001.0,A,60657,LAKE VIEW,6,17031062000,41.9448282656,-87.6458934884,"(41.9448282656, -87.6458934884)"
OLIVE MOUNT MART,3000.0,B,60629,CHICAGO LAWN,66,17031660400,41.7789401249,-87.71186857229999,"(41.7789401249, -87.7118685723)"
JEWEL FOOD STORE #3407,19238.0,A,60640,EDGEWATER,77,17031030900,41.982189884600004,-87.66865162799999,"(41.9821898846, -87.668651628)"
FURTERIA EL SERRANITO,2500.0,B,60609,MCKINLEY PARK,59,17031590700,41.8248606245,-87.6700230192,"(41.8248606245, -87.6700230192)"
PEORIA PACKING LTD,8000.0,B,60607,NEAR WEST SIDE,28,17031833000,41.88558042,-87.6589569108,"(41.88558042, -87.6589569108)"
CARNICERIA JIMENEZ INC,16000.0,A,60639,HUMBOLDT PARK,23,17031230500,41.9099252471,-87.73155721629999,"(41.9099252471, -87.7315572163)"
EXTRA VALUE FOOD & LIQUOR,5000.0,B,60636,WEST ENGLEWOOD,67,17031670800,41.7796146658,-87.6640774893,"(41.7796146658, -87.6640774893)"
GOLDMORE FOOD,2500.0,B,60609,NEW CITY,61,17031611700,41.801127809099995,-87.6740803441,"(41.8011278091, -87.6740803441)"
SOLID GOLD,3300.0,B,60624,NORTH LAWNDALE,29,17031838700,41.866119494,-87.720927574,"(41.866119494, -87.720927574)"
Food 4 Less Midwest,62000.0,A,60636,WEST ENGLEWOOD,67,17031671500,41.7657907704,-87.66396688649999,"(41.7657907704, -87.6639668865)"
CLARENDON FOOD MART INC,10000.0,A,60613,UPTOWN,3,17031031400,41.9580048015,-87.6496537356,"(41.9580048015, -87.6496537356)"
JEWEL FOOD STORE #3043,37641.0,A,60616,DOUGLAS,35,17031351000,41.8330447382,-87.6146113644,"(41.8330447382, -87.6146113644)"
LA PLAMA,15000.0,A,60632,BRIGHTON PARK,58,17031580501,41.8175793077,-87.69832058629999,"(41.8175793077, -87.6983205863)"
SUPER MAS MARKET,32000.0,A,60609,NEW CITY,61,17031842600,41.8087654583,-87.6611701084,"(41.8087654583, -87.6611701084)"
CARNICERIA EL PORVENIR,2500.0,B,60628,WEST PULLMAN,53,17031530100,41.684063198000004,-87.6187429679,"(41.684063198, -87.6187429679)"
RJ Liquors,3550.0,B,60639,BELMONT CRAGIN,19,17031190602,41.9240644164,-87.76766048639999,"(41.9240644164, -87.7676604864)"
JEWEL FOOD STORE #3282,24922.0,A,60630,PORTAGE PARK,15,17031150300,41.966797111999995,-87.76729948059999,"(41.966797112, -87.7672994806)"
PRESTIGE LIQUORS,2900.0,B,60636,CHICAGO LAWN,66,17031661000,41.7644955967,-87.6833842675,"(41.7644955967, -87.6833842675)"
"THREE ROOSTERS, INC.",4830.0,B,60628,WEST PULLMAN,53,17031530501,41.6709717654,-87.64153304959999,"(41.6709717654, -87.6415330496)"
BUY -N- SAVE,8000.0,B,60628,ROSELAND,49,17031490902,41.7071353216,-87.61824172989999,"(41.7071353216, -87.6182417299)"
A & B FOOD MARKET INC,10001.0,A,60651,AUSTIN,25,17031251100,41.9021664421,-87.75318234870001,"(41.9021664421, -87.7531823487)"
JEWEL FOOD STORE #3514,20285.0,A,60657,LAKE VIEW,6,17031061800,41.9463846516,-87.6465248633,"(41.9463846516, -87.6465248633)"
MR G'S FOOD & LIQUOR,3000.0,B,60637,WASHINGTON PARK,40,17031400400,41.7894298575,-87.6178403398,"(41.7894298575, -87.6178403398)"
ALDI INC STORE #90,16340.0,A,60620,AUBURN GRESHAM,71,17031711500,41.7302972736,-87.6433090924,"(41.7302972736, -87.6433090924)"
SUPERMERCADO LA VILLA,9000.0,B,60639,BELMONT CRAGIN,19,17031190800,41.924272713600004,-87.75211503770001,"(41.9242727136, -87.7521150377)"
CERMAK PRODUCE,14000.0,A,60639,HERMOSA,20,17031831200,41.9169344398,-87.7363871475,"(41.9169344398, -87.7363871475)"
MELISSA'S FOOD & LIQUORS INC,3500.0,B,60651,HUMBOLDT PARK,23,17031230700,41.9050594546,-87.72395138450001,"(41.9050594546, -87.7239513845)"
LA MERCED INC,10001.0,A,60623,SOUTH LAWNDALE,30,17031301801,41.8440327965,-87.73243286469999,"(41.8440327965, -87.7324328647)"
J & A ORIENTAL FOOD MART,10001.0,A,60639,BELMONT CRAGIN,19,17031191302,41.9237993545,-87.77063323639999,"(41.9237993545, -87.7706332364)"
WEST HAVEN MARKET & GRILL,3200.0,B,60612,NEAR WEST SIDE,28,17031837800,41.8831944724,-87.6804664902,"(41.8831944724, -87.6804664902)"
SAHAR INTERNATIONAL SUPERMARKET,7900.0,B,60625,ALBANY PARK,14,17031140100,41.9699575396,-87.7083728782,"(41.9699575396, -87.7083728782)"
WALGREENS #2073,,A,60609,FULLER PARK,37,17031835600,41.79623488,-87.63040492,"(41.79623488, -87.63040492)"
"PARK PACKING OF CHICAGO, INC.",3500.0,B,60609,NEW CITY,61,17031842600,41.8191594443,-87.66423535540001,"(41.8191594443, -87.6642353554)"
"R & S DISCOUNT FOOD, WINE, & LIQUOR",2800.0,B,60647,LOGAN SQUARE,22,17031830900,41.932046850999996,-87.68897868629999,"(41.932046851, -87.6889786863)"
CERMAK PRODUCE #5 LTD,10000.0,A,60608,MCKINLEY PARK,59,17031840300,41.8313499001,-87.67584784790002,"(41.8313499001, -87.6758478479)"
NATIONAL FRUIT STOP,3000.0,B,60625,ALBANY PARK,14,17031140701,41.9682556374,-87.7168773813,"(41.9682556374, -87.7168773813)"
DOMINICK'S #160/1698,72000.0,A,60626,ROGERS PARK,1,17031010202,42.0192885501,-87.6750585094,"(42.0192885501, -87.6750585094)"
JAMAICA FOOD & LIQUOR INC,2500.0,B,60653,GRAND BOULEVARD,38,17031380100,41.8170297652,-87.6068579199,"(41.8170297652, -87.6068579199)"
"CARNICERIA LA MEJOR PRODUCE, INC.",4500.0,B,60618,AVONDALE,21,17031210602,41.9343143994,-87.7157719991,"(41.9343143994, -87.7157719991)"
WHOLE FOODS MARKET,30591.0,A,60610,NEAR NORTH SIDE,8,17031081600,41.894968673200005,-87.62939917870001,"(41.8949686732, -87.6293991787)"
BARI,2500.0,B,60622,WEST TOWN,24,17031243500,41.8912101212,-87.6555602414,"(41.8912101212, -87.6555602414)"
JEWEL FOOD STORE #3454,25490.0,A,60618,NORTH CENTER,5,17031050200,41.959100433,-87.6823922417,"(41.959100433, -87.6823922417)"
JOLANTA'S INTERNATIONAL DELI,10001.0,A,60630,JEFFERSON PARK,11,17031110400,41.9727914969,-87.7763718583,"(41.9727914969, -87.7763718583)"
EL MILAGRO,5500.0,B,60623,SOUTH LAWNDALE,30,17031300900,41.844687327399996,-87.702102936,"(41.8446873274, -87.702102936)"
HARVESTIME FOODS,8750.0,B,60625,LINCOLN SQUARE,4,17031040201,41.9686702259,-87.6951627475,"(41.9686702259, -87.6951627475)"
CHICAGO GROCERS,2500.0,B,60659,WEST RIDGE,2,17031020500,41.997945885300005,-87.683568705,"(41.9979458853, -87.683568705)"
NOOR MEAT,3000.0,B,60659,WEST RIDGE,2,17031020802,41.997573805900004,-87.69254859879999,"(41.9975738059, -87.6925485988)"
TRATTORIA ISABELLA,3365.0,B,60661,NEAR WEST SIDE,28,17031280100,41.8862936679,-87.6426439206,"(41.8862936679, -87.6426439206)"
DOLLAR DEALS & UP,2500.0,B,60639,HERMOSA,20,17031200402,41.9188912639,-87.726465315,"(41.9188912639, -87.726465315)"
Save-A-Lot #886,13000.0,A,60620,GREATER GRAND CROSSING,69,17031691200,41.7509837901,-87.6289614545,"(41.7509837901, -87.6289614545)"
L'APPETITO,2900.0,B,60611,NEAR NORTH SIDE,8,17031081300,41.8989485417,-87.62397498770001,"(41.8989485417, -87.6239749877)"
"TONY'S FINER FOODS ENTERPRISES, INC.",21000.0,A,60647,LOGAN SQUARE,22,17031220902,41.924490094,-87.717288131,"(41.924490094, -87.717288131)"
JEWEL FOOD STORE #3139,22295.0,A,60617,EAST SIDE,52,17031520400,41.7028060951,-87.5277040116,"(41.7028060951, -87.5277040116)"
SAVE-A-LOT  #859,12000.0,A,60624,WEST GARFIELD PARK,26,17031260700,41.8745373122,-87.7255969017,"(41.8745373122, -87.7255969017)"
MICELI'S DELI & FOOD MART,4000.0,B,60608,LOWER WEST SIDE,31,17031841300,41.847020464,-87.6831995522,"(41.847020464, -87.6831995522)"
DOMINICK'S # 130/1130,10001.0,A,60649,SOUTH SHORE,43,17031430600,41.7659900011,-87.57378733670001,"(41.7659900011, -87.5737873367)"
MA'S & PA'S GROCERY SNACK SHOP,4500.0,B,60612,EAST GARFIELD PARK,27,17031271800,41.8708776439,-87.6961668842,"(41.8708776439, -87.6961668842)"
JEWEL FOOD STORE #3181,30745.0,A,60620,CHATHAM,44,17031842400,41.7361451282,-87.62691784399999,"(41.7361451282, -87.626917844)"
4700 PETE'S FRESH MARKET,45000.0,A,60632,BRIGHTON PARK,58,17031842800,41.8080472717,-87.70411882229999,"(41.8080472717, -87.7041188223)"
LA GUERRERENSE,3000.0,B,60639,HERMOSA,20,17031831200,41.9170000028,-87.73098926450001,"(41.9170000028, -87.7309892645)"
LOUIS' GROCERIES,,A,60619,GREATER GRAND CROSSING,69,17031691400,41.75655031,-87.60548285,"(41.75655031, -87.60548285)"
"SZYMANSKI BROS, INC",3000.0,B,60634,PORTAGE PARK,15,17031150502,41.9531497374,-87.77751748770001,"(41.9531497374, -87.7775174877)"
SUPERMERCADO GUADALAJARA #2,6000.0,B,60623,SOUTH LAWNDALE,30,17031300800,41.8498575327,-87.70534347709999,"(41.8498575327, -87.7053434771)"
JEWEL FOOD STORE #3455,23660.0,A,60613,UPTOWN,3,17031032100,41.9613977799,-87.6545929748,"(41.9613977799, -87.6545929748)"
CARNICERIA DEL RIO,3000.0,B,60608,SOUTH LAWNDALE,30,17031840700,41.8520347381,-87.6936969081,"(41.8520347381, -87.6936969081)"
FIESTA SUPERMARCADO,14500.0,A,60629,CHICAGO LAWN,66,17031660500,41.7788185771,-87.70590357549999,"(41.7788185771, -87.7059035755)"
ALDI INC #83,16300.0,A,60652,ASHBURN,70,17031700302,41.7409110654,-87.7409228594,"(41.7409110654, -87.7409228594)"
WALLY'S INTERNATIONAL MARKET,10001.0,A,60618,AVONDALE,21,17031831100,41.9401778125,-87.72585843479999,"(41.9401778125, -87.7258584348)"
ZIAD CERTIFIED FOODS,2500.0,B,60653,GRAND BOULEVARD,38,17031381200,41.809322870100004,-87.61333552120001,"(41.8093228701, -87.6133355212)"
SUPERMERCADO EL CUBANO INC,2750.0,B,60609,NEW CITY,61,17031611200,41.803782323,-87.6646953279,"(41.803782323, -87.6646953279)"
FAIRPLAY FINER FOODS INC,10001.0,A,60609,NEW CITY,61,17031842600,41.809629768,-87.6457075651,"(41.809629768, -87.6457075651)"
RITE PRICE FOOD,3600.0,B,60651,AUSTIN,25,17031250600,41.9022506897,-87.76595092379999,"(41.9022506897, -87.7659509238)"
KAMDAR PLAZA INC,5500.0,B,60659,WEST RIDGE,2,17031020602,41.9977219015,-87.6966411029,"(41.9977219015, -87.6966411029)"
J & J EUROPEAN DELI,3000.0,B,60630,PORTAGE PARK,15,17031150401,41.9677648001,-87.7770202043,"(41.9677648001, -87.7770202043)"
